"File","Key","Action"
"frontend/contact.php","Contact","Can be removed from site.php"
"frontend/contact.php","Message","Can be removed from site.php"
"frontend/contact.php","Subject","Can be removed from site.php"
"frontend/contact.php","general_inquiry","Can be removed from site.php"
"frontend/contact.php","therapist_registration","Can be removed from site.php"
"frontend/contact.php","institutional_partnership","Can be removed from site.php"
"frontend/contact.php","technical_support","Can be removed from site.php"
"frontend/contact.php","Submit","Can be removed from site.php"
"auth.php","Password","Can be removed from site.php"
"dashboard/general.php","update","Can be removed from site.php"
"dashboard/general.php","Feedback","Can be removed from site.php"
"dashboard/general.php","Schedule","Can be removed from site.php"
"dashboard/general.php","Filter","Can be removed from site.php"
"dashboard/general.php","Update","Can be removed from site.php"
"hIT.php","therapy","Can be removed from site.php"
"hIT.php","Partners","Can be removed from site.php"
"hIT.php","Month Trial Results","Can be removed from site.php"
"hIT.php","Proven Impact on Autism & Beyond","Can be removed from site.php"
"hIT.php","Clinical","Can be removed from site.php"
"hIT.php","Proof","Can be removed from site.php"
"hIT.php","Global Recognition","Can be removed from site.php"
"about.php","therapy","Can be removed from site.php"
"components/common.php","update","Can be removed from site.php"
"components/common.php","Yes","Can be removed from site.php"
"components/common.php","No","Can be removed from site.php"
"components/common.php","Done","Can be removed from site.php"
"components/common.php","Submit","Can be removed from site.php"
"components/common.php","Update","Can be removed from site.php"
"components/common.php","Done","Can be removed from site.php"
"frontend/medical.php","Diseases","Can be removed from site.php"
"frontend/medical.php","Psychological_diseases","Can be removed from site.php"
"frontend/medical.php","open_description","Can be removed from site.php"
"frontend/medical.php","more_description","Can be removed from site.php"
"frontend/medical.php","Yes","Can be removed from site.php"
"frontend/medical.php","No","Can be removed from site.php"
"components/footer.php","Home","Can be removed from site.php"
"components/footer.php","Therapists","Can be removed from site.php"
"components/footer.php","Dashboard","Can be removed from site.php"
"components/footer.php","Phone","Can be removed from site.php"
"components/footer.php","About","Can be removed from site.php"
"components/footer.php","SUBSCRIBE","Can be removed from site.php"
"components/footer.php","Contact","Can be removed from site.php"
"components/footer.php","Address","Can be removed from site.php"
"components/footer.php","Name","Can be removed from site.php"
"components/footer.php","Description","Can be removed from site.php"
"components/footer.php","Title","Can be removed from site.php"
"components/home.php","therapy","Can be removed from site.php"
"components/home.php","Description","Can be removed from site.php"
"components/home.php","Title","Can be removed from site.php"
"components/header.php","Default","Can be removed from site.php"
"components/header.php","Kids","Can be removed from site.php"
"components/header.php","Menu","Can be removed from site.php"
"components/header.php","Home","Can be removed from site.php"
"components/header.php","Language","Can be removed from site.php"
"components/header.php","Therapists","Can be removed from site.php"
"components/header.php","Dashboard","Can be removed from site.php"
"components/header.php","Logout","Can be removed from site.php"
"components/header.php","Login","Can be removed from site.php"
"components/header.php","Register","Can be removed from site.php"
"components/header.php","therapy","Can be removed from site.php"
"components/header.php","Library","Can be removed from site.php"
"components/header.php","Therapeutic_area","Can be removed from site.php"
"home.php","therapy","Can be removed from site.php"
"home.php","Welcome to SAMAA","Can be removed from site.php"
"home.php","First Name","Can be removed from site.php"
"home.php","Surname","Can be removed from site.php"
"home.php","Email","Can be removed from site.php"
"home.php","Message","Can be removed from site.php"
"home.php","general_inquiry","Can be removed from site.php"
"home.php","therapist_registration","Can be removed from site.php"
"home.php","institutional_partnership","Can be removed from site.php"
"home.php","technical_support","Can be removed from site.php"
"home.php","Submit","Can be removed from site.php"
"home.php","music therapy","Can be removed from site.php"
"therapists.php","Therapists","Can be removed from site.php"
"frontend/auth.php","Surname","Can be removed from site.php"
"frontend/auth.php","Birthday","Can be removed from site.php"
"frontend/auth.php","Email","Can be removed from site.php"
"frontend/auth.php","Country","Can be removed from site.php"
"frontend/auth.php","Phone","Can be removed from site.php"
"frontend/auth.php","Gender","Can be removed from site.php"
"frontend/auth.php","Male","Can be removed from site.php"
"frontend/auth.php","Female","Can be removed from site.php"
"frontend/auth.php","Next","Can be removed from site.php"
"frontend/auth.php","Previous","Can be removed from site.php"
"frontend/auth.php","next","Can be removed from site.php"
